id,key,value,type
9014609,access,private,default
9014609,highway,service,default
9014609,cfcc,A74,tiger
9014609,county,"Bartow, Georgia",tiger
9014609,reviewed,no,tiger
9014627,highway,residential,default
9014627,cfcc,A41,tiger
9014627,county,"Bartow, Georgia",tiger
9014627,reviewed,no,tiger
9014627,separated,no,tiger
9014627,source,tiger_import_dch_v0.6_20070809,tiger
9014627,tlid,30467281,tiger
9014627,upload_uuid,bulk_upload.pl-22c3800a-3637-4f14-a374-ff810a2bcce3,tiger
9014689,access,private,default
9014689,highway,service,default
9014689,cfcc,A74,tiger
9014689,county,"Bartow, Georgia",tiger
9014689,reviewed,no,tiger
9014689,source,tiger_import_dch_v0.6_20070809,tiger
9014689,tlid,30462056,tiger
9014689,upload_uuid,bulk_upload.pl-22c3800a-3637-4f14-a374-ff810a2bcce3,tiger
9014834,power,line,default
9014834,cfcc,C20,tiger
9014834,county,"Bartow, GA;Gordon, Georgia",tiger
9014834,reviewed,no,tiger
9014861,access,private,default
9014861,highway,service,default
9014861,cfcc,A74,tiger
9014861,county,"Bartow, Georgia",tiger
9014861,reviewed,no,tiger
9014864,access,private,default
9014864,highway,service,default
9014864,cfcc,A74,tiger
9014864,county,"Bartow, Georgia",tiger
9014864,reviewed,no,tiger
9014876,access,private,default
9014876,highway,service,default
9014876,cfcc,A74,tiger
9014876,county,"Bartow, Georgia",tiger
9014876,reviewed,no,tiger
9014906,highway,service,default
9014906,service,driveway,default
9014906,cfcc,A41,tiger
9014906,county,"Bartow, Georgia",tiger
9014906,reviewed,no,tiger
9014909,access,private,default
9014909,highway,service,default
9014909,service,driveway,default
9014909,cfcc,A74,tiger
9014909,county,"Bartow, Georgia",tiger
9014909,reviewed,no,tiger
9014932,highway,service,default
9014949,access,private,default
9014949,highway,service,default
9014949,service,driveway,default
9014949,cfcc,A41,tiger
9014949,county,"Bartow, Georgia",tiger
9014949,reviewed,no,tiger
9014979,access,private,default
9014979,highway,service,default
9014979,cfcc,A74,tiger
9014979,county,"Bartow, Georgia",tiger
9014979,reviewed,no,tiger
9014980,access,private,default
9014980,highway,service,default
9014980,cfcc,A74,tiger
9014980,county,"Bartow, Georgia",tiger
9014980,reviewed,no,tiger
9014981,access,private,default
9014981,highway,service,default
9014981,cfcc,A74,tiger
9014981,county,"Bartow, Georgia",tiger
9014981,reviewed,no,tiger
9014987,highway,service,default
9014987,cfcc,A41,tiger
9014987,county,"Bartow, Georgia",tiger
9014987,reviewed,no,tiger
9015033,highway,residential,default
9015033,cfcc,A41,tiger
9015033,county,"Bartow, Georgia",tiger
9015033,reviewed,no,tiger
9015057,highway,residential,default
